Question,Label
" I`d have responded, if I were going",1
 Sooo SAD I will miss you here in San Diego!!!,1
my boss is bullying me...,1
 what interview! leave me alone,1
" Sons of ****, why couldn`t they put them on the releases we already bought",1
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1
2am feedings for the baby are fun when he is all smiles and coos,1
Soooo high,1
 Both of you,1
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),1
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1
I really really like the song Love Story by Taylor Swift,1
My Sharpie is running DANGERously low on ink,1
i want to go to music tonight but i lost my voice.,1
test test from the LG enV2,1
"Uh oh, I am sunburned",1
" I know   It was worth a shot, though!",1
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",1
Ship. I`m stuck.,1
DUSTBIN BABY ON AT 11.30 Cannot wait  x,1
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",1
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,1
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,1
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,1
today is a busy day. exhausting!,1
" I was going to go on Sunday, but now I`ve got too much going on that weekend",1
 Sorry to hear ur flight got cancelled  that blows!!!,1
ohh my tooth is hurts ohh  im sad it very hurts,1
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",1
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,1
Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,1
sore throat. Planning the TET outing to Marwell though...good times,1
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,1
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,1
 There!,1
?sucks!?..,1
 whens the sway sway winner announced?,1
 K will check it out...,1
" doing pretty well, up and wide awake",1
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",1
I Miss Daddy and Mommy,1
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",1
I just realized that I can`t forward text msgs with my iPhone.,1
"My frist post... Off to find a new car for my parents, exciting!",1
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,1
seriously bored without anyone to talk to... but not tired enough for sleep,1
 I am lost. Please help me find a good home.,1
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,1
 LMAO... Smh!  that one threw me off.,1
 oh nice going!,1
Is getting ready for work... Working all weekend,1
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,1
 i agree with you!,1
 I only do computers. Am hopeless at everything else,1
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",1
_2nd aww thanks!,1
Sorry RB is on PS3 for me,1
I saw amazing heeels. But they were too big,1
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,1
dang last url went down  ? http://blip.fm/~7aigm,1
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",1
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,1
 my boss. She`s moving to NYC,1
this is sooo crazy i have fever..,1
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,1
I think i need some new friends,1
 Looking forward to your gig in Ireland!!!  See ya there!,1
Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,1
aww  you loooove me,1
"is hungry, twitter.  i want food. </3",1
awesome lucky you,1
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",1
" haha im jewish, i love that one",1
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",1
l`m on 3 days too matt. No fun this weekend.,1
u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,1
 I feel your pain. Mine is the same way,1
comes home in two days,1
 Sadly no. It didn`t come with one...,1
Cant wait to see my boy tomorrow,1
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,1
 aww I miss driving down elmwood,1
Omg Wango Tango was **** AWSOME! I love my baby for taking me,1
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",1
_30439 I really wish I could go!,1
" yeah real hard, but I know you`ll get by with it... smile",1
I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,1
  This has made my night!!  Way too funny!!,1
Woo CAVS.  Happy Mother`s Day!,1
 I make that same face when I get home and your mom is watching soaps.,1
I have to go to work now.,1
 I can`t believe you went and got boba without me.,1
"  And to you too, how are you today?",1
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,1
19 days and counting,1
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,1
BRAINFREEZE,1
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,1
"My sunburn is peeling,",1
perky purple nail polish isn`t as perky when its chipped,1
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",1
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,1
I hate the dentist,1
" nothing aimed at you, just joining in...sorry",1
I`m taking a twitter break. Cell is dying,1
 qood morninq,1
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,1
needs more followers,1
I wish I could get my nails done  stupid job,1
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,1
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,1
 Have a good one,1
"yep infact she is popular, miss india 99, talented film actress .... and lot more",1
Dosen`t Want To Go To Work Tomorrow,1
Daniel has won DSDS. His voice is great.,1
[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,1
sunniest day in ages and im in bed,1
 **** how you not gonna follow me son?,1
 me too... it goes to my phone so all night long sometimes my phone is blowing up... so nice to wake up to!,1
 wish we could come see u on Denver  husband lost his job and can`t afford it,1
" I`ve wondered about rake to.  The client has made it clear .NET only, don`t force devs to learn a new lang  #agile #ccnet",1
 Yay good for both of you. Enjoy the break - you probably need it after such hectic weekend  Take care hun xxxx,1
 But it was worth it  ****.,1
   All this flirting going on - The ATG smiles. Yay.  ((hugs)),1